x,y,speed,acceleration
325.0001001787172,344.99985698828146,1.7460849642159706E-4,0.06047650923890329
325.00462882238133,344.99374273220377,0.0019418706636323165,0.0696069584116356
325.00600412962507,344.9919384600111,0.0022686710118117715,0.06960801986812938
325.00940306627274,344.9875341665007,0.002967859964805832,0.07234334023324222
325.0114562220962,344.9848994121827,0.003340266329472908,0.07234438071467429
325.0366295814003,344.9536195633771,0.0063431471656917775,0.07376287140933187
325.06664530994095,344.9178404612855,0.008871340869374182,0.07650245235148646
325.1602963640054,344.8091307286912,0.014525568680226955,0.07882818950498303
325.1909492684043,344.7739831083835,0.01605542987777358,0.08059733034343848
325.2487495031463,344.70781369804314,0.018560435938179482,0.07925417454243361
325.2612877910609,344.6934743187642,0.01904800414574969,0.07925409092849273
325.2741493786826,344.67876996238016,0.019535570962185174,0.07925400746041361
325.3008429224384,344.64826673898284,0.020510700421612484,0.07925384052246652
325.4045544501444,344.529803464951,0.024019543434079305,0.08059599957087998
325.5816937418983,344.3265942037009,0.02933370479405603,0.08187042024830045
325.96238084774876,343.8892210692589,0.03833555418067638,0.08159561259406097
325.98790077920046,343.85991237572733,0.03886214633582976,0.08159552766136782
326.0665518502163,343.7700319693466,0.040285942576172004,0.07847549186851713
326.093468742022,343.7394231149932,0.040760532740704646,0.07847540838685005
326.2046366389364,343.6134836255774,0.04279156776905623,0.08361513963395598
326.23328049097233,343.5809427074966,0.04335183512835258,0.08361603980456783
326.2915391738251,343.5147185979436,0.044368439609561466,0.08205328643071268
326.3813289027341,343.4122971911179,0.04591926416552247,0.0820530399404242
326.50552901793196,343.2700561040758,0.04797436226295962,0.08025717248559765
326.6349703340067,343.12162975469766,0.049991452992748056,0.08025623420625004
326.7016683975645,343.0451265004576,0.05099999001509594,0.08025606738762525
326.94553528130285,342.7655896688867,0.05442421448650813,0.0770866108907653
327.1299997002415,342.5564156131495,0.05668141180202129,0.07708620360062282
327.2061106726707,342.4702520748616,0.05774979230115964,0.08205220157480468
327.28345746666446,342.3823294235829,0.05881819485128407,0.08205203239897176
327.4418976000594,342.20145025859796,0.060903096171627355,0.08205170082008269
327.52303434759494,342.10858268452205,0.061911583112669887,0.08025426250348104
327.64721066394117,341.9664185501719,0.06342428796394556,0.08025401202083533
327.73164193338744,341.8697336152807,0.06443275091250443,0.08025384516469106
327.81739052706286,341.7715213414256,0.06544120829912112,0.08025367830573006
327.90445337112544,341.67180969856526,0.06643427302598015,0.07979181884784443
328.2657774030401,341.2579295563608,0.0704371538010021,0.07979177871957252
328.4542240714132,341.041844749647,0.07242321623266623,0.07979080932442854
328.94832853592214,340.47556452569887,0.07738827465585006,0.07978997233388666
329.260443033653,340.11774319103085,0.08041356252301411,0.08133996318288297
329.3135109481715,340.0566333279823,0.08093589384912486,0.08133987793214319
330.14379336562706,339.0889483291707,0.08846368117372427,0.07946681769230385
330.43570821002623,338.7468922288327,0.09091922885857467,0.07946640294162756
330.9810047730793,338.10752336233696,0.09531384218686925,0.07895989511011067
331.29461390404515,337.73912010220124,0.09772730495753496,0.07896186080954301
331.35831552339516,337.66437180429415,0.09821000126171255,0.07896177674018091
331.813181301139,337.131007692598,0.1015887173786786,0.07895881322185726
331.8793630775007,337.0532996775503,0.10207136290384283,0.07895872999953876
332.28333648113187,336.5796224105775,0.10495575703328805,0.07860992574465168
332.6990482552552,336.0933499956143,0.10781658409394307,0.07860533443162301
333.5624975632506,335.0804449461048,0.113537542961177,0.07860433456336482
334.314414688023,334.1951862657134,0.11829227830919409,0.08005618087281087
334.39114452350196,334.10454178268947,0.11875979940746395,0.07805126443320462
334.54552001873054,333.9221903687455,0.11969492638238036,0.078057192096085
334.7792520646471,333.64566006893574,0.12117228958442335,0.07805092466899335
334.9365167397762,333.45943316556964,0.12210728800476305,0.07804990927498386
335.0949479663003,333.2717690547948,0.12302942613361868,0.07766402661601084
336.9949381943575,331.00114079485286,0.13391122992951762,0.0776620567919976
337.78121548181997,330.06176305388686,0.13789517112071814,0.0770553651244836
338.13825242378414,329.63512839925147,0.13974888679779954,0.07622095052789286
338.22838100299936,329.527765242877,0.14017848671619365,0.07577599375932384
338.7746446396156,328.8753668727273,0.14302491660681974,0.07900209946170882
340.28500202518507,327.0768574119288,0.15007829128411343,0.07507404506694762
340.9702354809856,326.26350585273474,0.1532848504324653,0.07868420370533342
341.5678350949943,325.5511933193163,0.15612506795741607,0.07458520986989887
341.7695034744115,325.31119516467714,0.1569445135092454,0.07458332456876984
343.0060679808619,323.84505761661467,0.16228911871726362,0.07825157151390916
343.63974506077045,323.0928987144493,0.16506877624399668,0.07756893924638454
343.74624853671,322.96618402096095,0.1655282572041752,0.07756885617288238
344.3903356483403,322.19755412906454,0.1682840947307798,0.07754797234200718
344.9329703679691,321.5455114934765,0.17057210965852354,0.07708982260199705
345.0422037914563,321.41391692051184,0.17102360199833344,0.07708953897576513
345.3717723739574,321.01731700100976,0.17229926108715496,0.07471158367494243
345.59281889781795,320.75119469211046,0.17320146305493206,0.07706653594239991
346.03753653895797,320.2141450723281,0.17496665002614034,0.07471209707842137
347.16986654374335,318.8500596172029,0.1791349883571724,0.07388203879750728
348.1004939707345,317.74193201996246,0.1822065971537008,0.07591006868630064
348.576256389357,317.18681373637645,0.18243038538025286,-0.0013205537901060022
348.69588899590696,317.04845134510936,0.1829101196409967,0.07878405414342632
349.4188447973195,316.22187786230467,0.18310027203739673,0.07829301369478851
350.27486455799306,315.26369071878,0.1836560380273177,0.08360443374170605
350.64471917902625,314.8544734207951,0.1839540771838436,0.08196399570781158
